Supplemental Table 1: Public RNA-sequencing data collection and respective quality control status.,,,
,samples,study,QC_Status
1358,SAMN10172482,Suntsova,FAIL
1359,SAMN10172481,Suntsova,PASS
1360,SAMN10172480,Suntsova,OMITTED1
1361,SAMN10172479,Suntsova,PASS
1362,SAMN10172478,Suntsova,PASS
1363,SAMN10172477,Suntsova,PASS
1364,SAMN10172476,Suntsova,FAIL
1365,SAMN10172475,Suntsova,FAIL
1366,SAMN10172474,Suntsova,PASS
1367,SAMN10172473,Suntsova,PASS
1368,SAMN10172510,Suntsova,PASS
1369,SAMN10172509,Suntsova,FAIL
1370,SAMN10172508,Suntsova,PASS
1371,SAMN10172507,Suntsova,PASS
1372,SAMN10172506,Suntsova,PASS
1373,SAMN10172505,Suntsova,FAIL
1374,SAMN10172504,Suntsova,PASS
1375,SAMN10172503,Suntsova,PASS
1376,SAMN10172493,Suntsova,PASS
1377,SAMN10172492,Suntsova,FAIL
1378,SAMN10172491,Suntsova,OMITTED1
1379,SAMN10172490,Suntsova,PASS
1380,SAMN10172489,Suntsova,PASS
1381,SAMN10172472,Suntsova,PASS
1382,SAMN10172470,Suntsova,PASS
1383,SAMN10172468,Suntsova,PASS
1384,SAMN10172467,Suntsova,PASS
1385,SAMN10172466,Suntsova,PASS
1386,SAMN10172465,Suntsova,FAIL
1387,SAMN10172464,Suntsova,PASS
1388,SAMN10172463,Suntsova,FAIL
1389,SAMN10172462,Suntsova,PASS
1390,SAMN10172461,Suntsova,PASS
1391,SAMN10172460,Suntsova,FAIL
1392,SAMN10172459,Suntsova,FAIL
1393,SAMN10172458,Suntsova,PASS
1394,SAMN10172457,Suntsova,FAIL
1395,SAMN10172456,Suntsova,PASS
1396,SAMN10172455,Suntsova,PASS
1397,SAMN10172454,Suntsova,FAIL
1398,SAMN10172453,Suntsova,PASS
1399,SAMN10172452,Suntsova,PASS
1400,SAMN10172451,Suntsova,PASS
1401,SAMN10172450,Suntsova,PASS
1402,SAMN10172449,Suntsova,PASS
1403,SAMN10172448,Suntsova,PASS
1404,SAMN10172500,Suntsova,FAIL
1405,SAMN10172499,Suntsova,FAIL
1406,SAMN10172498,Suntsova,FAIL
1407,SAMN10172497,Suntsova,FAIL
1408,SAMN10172496,Suntsova,PASS
1409,SAMN08511726,Higgs,FAIL
1410,SAMN08511725,Higgs,FAIL
1411,SAMN08511724,Higgs,FAIL
1412,SAMN08511723,Higgs,FAIL
1413,SAMN08511722,Higgs,FAIL
1414,SAMN08511721,Higgs,FAIL
1415,SAMN08511720,Higgs,FAIL
1416,SAMN08511719,Higgs,FAIL
1417,SAMN08511718,Higgs,FAIL
1418,SAMN08511717,Higgs,FAIL
1419,SAMN08511716,Higgs,FAIL
1420,SAMN08511715,Higgs,FAIL
1421,SAMN08511714,Higgs,FAIL
1422,SAMN08511800,Higgs,FAIL
1423,SAMN08511799,Higgs,FAIL
1424,SAMN08511798,Higgs,FAIL
1425,SAMN08511797,Higgs,FAIL
1426,SAMN08511796,Higgs,FAIL
1427,SAMN08511795,Higgs,FAIL
1428,SAMN08511794,Higgs,FAIL
1429,SAMN08511793,Higgs,FAIL
1430,SAMN08511792,Higgs,FAIL
1431,SAMN08511791,Higgs,FAIL
1432,SAMN08511790,Higgs,FAIL
1433,SAMN08511789,Higgs,FAIL
1434,SAMN08511786,Higgs,FAIL
1435,SAMN08511830,Higgs,FAIL
1436,SAMN08511829,Higgs,FAIL
1437,SAMN08511828,Higgs,FAIL
1438,SAMN08511827,Higgs,FAIL
1439,SAMN08511788,Higgs,FAIL
1440,SAMN08511787,Higgs,FAIL
1441,SAMN08511826,Higgs,FAIL
1442,SAMN08511825,Higgs,FAIL
1443,SAMN08511824,Higgs,FAIL
1444,SAMN08511823,Higgs,FAIL
1445,SAMN08511822,Higgs,FAIL
1446,SAMN08511821,Higgs,FAIL
1447,SAMN08511820,Higgs,FAIL
1448,SAMN08511819,Higgs,FAIL
1449,SAMN08511818,Higgs,FAIL
1450,SAMN08511817,Higgs,FAIL
1451,SAMN08511816,Higgs,FAIL
1452,SAMN08511815,Higgs,FAIL
1453,SAMN08511814,Higgs,FAIL
1454,SAMN08511813,Higgs,FAIL
1455,SAMN08511812,Higgs,FAIL
1456,SAMN08511811,Higgs,FAIL
1457,SAMN08511810,Higgs,FAIL
1458,SAMN08511809,Higgs,FAIL
1459,SAMN08511808,Higgs,FAIL
1460,SAMN08511807,Higgs,FAIL
1461,SAMN08511806,Higgs,FAIL
1462,SAMN08511805,Higgs,FAIL
1463,SAMN08511804,Higgs,FAIL
1464,SAMN08511802,Higgs,FAIL
1465,SAMN08511801,Higgs,FAIL
1466,SAMN08511756,Higgs,FAIL
1467,SAMN08511755,Higgs,FAIL
1468,SAMN08511754,Higgs,FAIL
1469,SAMN08511803,Higgs,FAIL
1470,SAMN08511753,Higgs,FAIL
1471,SAMN08511752,Higgs,FAIL
1472,SAMN08511751,Higgs,FAIL
1473,SAMN08511750,Higgs,FAIL
1474,SAMN08511749,Higgs,FAIL
1475,SAMN08511748,Higgs,FAIL
1476,SAMN08511747,Higgs,FAIL
1477,SAMN08511746,Higgs,FAIL
1478,SAMN08511745,Higgs,FAIL
1479,SAMN08511744,Higgs,FAIL
1480,SAMN08511743,Higgs,FAIL
1481,SAMN08511742,Higgs,FAIL
1482,SAMN08511741,Higgs,FAIL
1483,SAMN08511740,Higgs,FAIL
1484,SAMN08511739,Higgs,FAIL
1485,SAMN08511738,Higgs,FAIL
1486,SAMN08511737,Higgs,FAIL
1487,SAMN08511736,Higgs,FAIL
1488,SAMN08511735,Higgs,FAIL
1489,SAMN08511734,Higgs,FAIL
1490,SAMN08511733,Higgs,FAIL
1491,SAMN08511732,Higgs,FAIL
1492,SAMN08511731,Higgs,FAIL
1493,SAMN08511730,Higgs,FAIL
1494,SAMN08511729,Higgs,FAIL
1495,SAMN08511728,Higgs,FAIL
1496,SAMN08511727,Higgs,FAIL
1497,SAMN08511703,Higgs,FAIL
1498,SAMN08511702,Higgs,FAIL
1499,SAMN08511701,Higgs,FAIL
1500,SAMN08511700,Higgs,FAIL
1501,SAMN08511699,Higgs,FAIL
1502,SAMN08511698,Higgs,FAIL
1503,SAMN08511697,Higgs,FAIL
1504,SAMN08511696,Higgs,FAIL
1505,SAMN08511695,Higgs,FAIL
1506,SAMN08511694,Higgs,FAIL
1507,SAMN08511693,Higgs,FAIL
1508,SAMN08511692,Higgs,FAIL
1509,SAMN08511691,Higgs,FAIL
1510,SAMN08511690,Higgs,FAIL
1511,SAMN08511689,Higgs,FAIL
1512,SAMN08511688,Higgs,FAIL
1513,SAMN08511687,Higgs,FAIL
1514,SAMN08511686,Higgs,FAIL
1515,SAMN08511685,Higgs,FAIL
1516,SAMN08511684,Higgs,FAIL
1517,SAMN08511683,Higgs,FAIL
1518,SAMN08511682,Higgs,FAIL
1519,SAMN08511681,Higgs,FAIL
1520,SAMN08511680,Higgs,FAIL
1521,SAMN08511679,Higgs,FAIL
1522,SAMN08511678,Higgs,FAIL
1523,SAMN08511677,Higgs,FAIL
1524,SAMN08511675,Higgs,FAIL
1525,SAMN08511674,Higgs,FAIL
1526,SAMN08511785,Higgs,FAIL
1527,SAMN08511784,Higgs,FAIL
1528,SAMN08511783,Higgs,FAIL
1529,SAMN08511676,Higgs,FAIL
1530,SAMN08511782,Higgs,FAIL
1531,SAMN08511781,Higgs,FAIL
1532,SAMN08511780,Higgs,FAIL
1533,SAMN08511779,Higgs,FAIL
1534,SAMN08511778,Higgs,FAIL
1535,SAMN08511777,Higgs,FAIL
1536,SAMN08511776,Higgs,FAIL
1537,SAMN08511775,Higgs,FAIL
1538,SAMN08511774,Higgs,FAIL
1539,SAMN08511773,Higgs,FAIL
1540,SAMN08511772,Higgs,FAIL
1541,SAMN08511771,Higgs,FAIL
1542,SAMN08511770,Higgs,FAIL
1543,SAMN08511769,Higgs,FAIL
1544,SAMN08511768,Higgs,FAIL
1545,SAMN08511767,Higgs,FAIL
1546,SAMN08511766,Higgs,FAIL
1547,SAMN08511765,Higgs,FAIL
1548,SAMN08511764,Higgs,FAIL
1549,SAMN08511763,Higgs,FAIL
1550,SAMN08511762,Higgs,FAIL
1551,SAMN08511761,Higgs,FAIL
1552,SAMN08511760,Higgs,FAIL
1553,SAMN08511759,Higgs,FAIL
1554,SAMN08511758,Higgs,FAIL
1555,SAMN08511713,Higgs,FAIL
1556,SAMN08511712,Higgs,FAIL
1557,SAMN08511711,Higgs,FAIL
1558,SAMN08511710,Higgs,FAIL
1559,SAMN08511757,Higgs,FAIL
1560,SAMN08511831,Higgs,FAIL
1561,SAMN08511673,Higgs,FAIL
1562,SAMN08511709,Higgs,FAIL
1563,SAMN08511708,Higgs,FAIL
1564,SAMN08511707,Higgs,FAIL
1565,SAMN08511706,Higgs,FAIL
1566,SAMN08511705,Higgs,FAIL
1567,SAMN08511704,Higgs,FAIL
1568,SAMN07454456,Wang3,PASS
1569,SAMN07454455,Wang3,PASS
1570,SAMN07454454,Wang3,PASS
1571,SAMN08291554,Konnikova,PASS
1572,SAMN08291550,Konnikova,PASS
1573,SAMN08291546,Konnikova,PASS
1574,SAMN08291542,Konnikova,PASS
1575,SAMN08291538,Konnikova,PASS
1576,SAMN08291527,Konnikova,PASS
1577,SAMN08291529,Konnikova,PASS
1578,SAMN08291522,Konnikova,PASS
1579,SAMN08291518,Konnikova,PASS
1580,SAMN08291514,Konnikova,PASS
1581,SAMN08291510,Konnikova,PASS
1582,SAMN08291532,Konnikova,PASS
1583,SAMN08291502,Konnikova,PASS
1584,SAMN08291507,Konnikova,PASS
1585,SAMN08291498,Konnikova,PASS
1586,SAMN08291494,Konnikova,PASS
1587,SAMN08291490,Konnikova,PASS
1588,SAMN08291558,Konnikova,PASS
1589,SAMN06350965,Hanley,FAIL
1590,SAMN06350931,Hanley,FAIL
1591,SAMN06350959,Hanley,FAIL
1592,SAMN06350958,Hanley,FAIL
1593,SAMN06350964,Hanley,FAIL
1594,SAMN06350957,Hanley,FAIL
1595,SAMN06350956,Hanley,FAIL
1596,SAMN06350955,Hanley,FAIL
1597,SAMN06350954,Hanley,FAIL
1598,SAMN06350953,Hanley,FAIL
1599,SAMN06350952,Hanley,FAIL
1600,SAMN06350950,Hanley,FAIL
1601,SAMN06350949,Hanley,OMITTED3
1602,SAMN06350948,Hanley,PASS
1603,SAMN06350963,Hanley,OMITTED3
1604,SAMN06350947,Hanley,PASS
1605,SAMN06350946,Hanley,OMITTED3
1606,SAMN06350945,Hanley,PASS
1607,SAMN06350943,Hanley,OMITTED3
1608,SAMN06350942,Hanley,FAIL
1609,SAMN04453182,Yang ,FAIL
1610,SAMN04453183,Yang ,FAIL
1611,SAMN04453184,Yang ,FAIL
1612,SAMN04453185,Yang ,FAIL
1613,SAMN04453186,Yang ,FAIL
1614,SAMN04453187,Yang ,FAIL
1615,SAMN04453188,Yang ,FAIL
1616,SAMN04453189,Yang ,PASS
1617,SAMN04453190,Yang ,FAIL
1618,SAMN04453191,Yang ,PASS
1619,SAMN04453192,Yang ,FAIL
1620,SAMN04453193,Yang ,FAIL
1621,SAMN04453194,Yang ,PASS
1622,SAMN04453195,Yang ,PASS
1623,SAMN04453196,Yang ,PASS
1624,SAMN04453197,Yang ,PASS
1625,SAMN04453198,Yang ,PASS
1626,SAMN04453199,Yang ,PASS
1627,SAMN04453200,Yang ,FAIL
1628,SAMN04453201,Yang ,PASS
1629,SAMN04453202,Yang ,FAIL
1630,SAMN04453203,Yang ,FAIL
1631,SAMN04453204,Yang ,FAIL
1632,SAMN04453205,Yang ,FAIL
1633,SAMN04453206,Yang ,PASS
1634,SAMN04453207,Yang ,FAIL
1635,SAMN04453208,Yang ,FAIL
1636,SAMN04453209,Yang ,FAIL
1637,SAMN04453210,Yang ,FAIL
1638,SAMN04453151,Yang ,FAIL
1639,SAMN04453152,Yang ,FAIL
1640,SAMN04453153,Yang ,FAIL
1641,SAMN04453154,Yang ,PASS
1642,SAMN04453155,Yang ,PASS
1643,SAMN04453156,Yang ,PASS
1644,SAMN04453157,Yang ,PASS
1645,SAMN04453158,Yang ,PASS
1646,SAMN04453159,Yang ,PASS
1647,SAMN04453160,Yang ,FAIL
1648,SAMN04453161,Yang ,PASS
1649,SAMN03465401,Duff,PASS
1650,SAMN03465402,Duff,PASS
1651,SAMN03465403,Duff,PASS
1652,SAMN03465406,Duff,FAIL
1653,SAMN03465407,Duff,PASS
1654,SAMN03465408,Duff,PASS
1655,SAMN03465409,Duff,PASS
1656,SAMN03465410,Duff,PASS
1657,SAMN03465411,Duff,PASS
1658,SAMN03465412,Duff,OMITTED1
1659,SAMN03465413,Duff,PASS
1660,SAMN03465414,Duff,PASS
1661,SAMN03465415,Duff,PASS
1662,SAMN03465416,Duff,PASS
1663,SAMN03465418,Duff,PASS
1664,SAMN03465419,Duff,PASS
1665,SAMN03465420,Duff,OMITTED1
1666,SAMN03465421,Duff,OMITTED3
1667,SAMN03069745,Clark,OMITTED2
1668,SAMN03069753,Clark,FAIL
1669,SAMN03069755,Clark,FAIL
1670,SAMN03069756,Clark,FAIL
1671,SAMN03069757,Clark,OMITTED2
1672,SAMN03069759,Clark,OMITTED2
1673,SAMN03069760,Clark,FAIL
1674,SAMN03069761,Clark,FAIL
1675,SAMN03069762,Clark,OMITTED2
1676,SAMN03069765,Clark,OMITTED2
1677,SAMN03069766,Clark,FAIL
1678,SAMN03069767,Clark,FAIL
1679,SAMN03069768,Clark,FAIL
1680,SAMN03069742,Clark,FAIL
1681,SAMN03069773,Clark,FAIL
1682,SAMN03069774,Clark,FAIL
1683,SAMN03069775,Clark,FAIL
1684,SAMN03069780,Clark,FAIL
1685,SAMN03069785,Clark,FAIL
1686,SAMN03069786,Clark,FAIL
1687,SAMN11620877,Rashid,PASS
1688,SAMN11620876,Rashid,PASS
1689,SAMN11620875,Rashid,PASS
1690,SAMN11620874,Rashid,PASS
1691,SAMN11620873,Rashid,PASS
1692,SAMN11620872,Rashid,PASS
1693,SAMN11620871,Rashid,PASS
1694,SAMN11620870,Rashid,PASS
1695,SAMN11620869,Rashid,PASS
1696,SAMN11620868,Rashid,PASS
1697,SAMN11620833,Rashid,PASS
1698,SAMN11620832,Rashid,PASS
1699,SAMN11620831,Rashid,PASS
1700,SAMN11620830,Rashid,PASS
1701,SAMN11620829,Rashid,PASS
1702,SAMN11620828,Rashid,PASS
1703,SAMN11620827,Rashid,PASS
1704,SAMN11620826,Rashid,PASS
1705,SAMN11620825,Rashid,PASS
1706,SAMN11620824,Rashid,FAIL
1707,SAMN11620823,Rashid,PASS
1708,SAMN11620822,Rashid,PASS
1709,SAMN11620821,Rashid,PASS
1710,SAMN11620820,Rashid,PASS
1711,SAMN11620819,Rashid,PASS
1712,SAMN11620818,Rashid,PASS
1713,SAMN11620817,Rashid,PASS
1714,SAMN11620816,Rashid,PASS
1715,SAMN11620815,Rashid,PASS
1716,SAMN11620814,Rashid,PASS
1717,SAMN11620813,Rashid,PASS
1718,SAMN11620812,Rashid,FAIL
1719,SAMN11620811,Rashid,FAIL
1720,SAMN11620857,Rashid,PASS
1721,SAMN11620856,Rashid,PASS
1722,SAMN11620855,Rashid,PASS
1723,SAMN11620854,Rashid,PASS
1724,SAMN11620853,Rashid,PASS
1725,SAMN11620852,Rashid,PASS
1726,SAMN11620851,Rashid,PASS
1727,SAMN11620884,Rashid,PASS
1728,SAMN11620883,Rashid,PASS
1729,SAMN11620882,Rashid,PASS
1730,SAMN11620927,Rashid,PASS
1731,SAMN11620926,Rashid,PASS
1732,SAMN11620925,Rashid,PASS
1733,SAMN11620924,Rashid,PASS
1734,SAMN10247530,Pradas-Juni ,PASS
1735,SAMN10247529,Pradas-Juni ,PASS
1736,SAMN10247528,Pradas-Juni ,PASS
1737,SAMN10247527,Pradas-Juni ,PASS
1738,SAMEA104609659,Beck,PASS
1739,SAMEA104609660,Beck,PASS
1740,SAMEA104609661,Beck,PASS
1741,SAMEA104609662,Beck,PASS
1742,SAMEA104609663,Beck,PASS
1743,SAMEA104609664,Beck,PASS
1744,SAMEA104609665,Beck,PASS
1745,SAMEA104609666,Beck,PASS
1746,SAMEA104609667,Beck,PASS
1747,SAMEA104609668,Beck,PASS
1748,SAMN11093959,Bouquet,FAIL
1749,SAMN11093993,Bouquet,FAIL
1750,SAMN11093997,Bouquet,FAIL
1751,SAMN11094032,Bouquet,PASS
1752,SAMN11094028,Bouquet,FAIL
1753,SAMN11093975,Bouquet,FAIL
1754,SAMN11094009,Bouquet,FAIL
1755,SAMN11094005,Bouquet,FAIL
1756,SAMN11094001,Bouquet,FAIL
1757,SAMN11093954,Bouquet,FAIL
1758,SAMN11093950,Bouquet,FAIL
1759,SAMN07340577,Engqvist,PASS
1760,SAMN07340576,Engqvist,PASS
1761,SAMN07340575,Engqvist,PASS
1762,SAMN07340574,Engqvist,PASS
1763,SAMN07340573,Engqvist,FAIL
1764,SAMN07340572,Engqvist,PASS
1765,SAMN07340571,Engqvist,PASS
1766,SAMN07340570,Engqvist,PASS
1767,SAMN07340569,Engqvist,PASS
1768,SAMN07340568,Engqvist,PASS
1769,SAMN07340567,Engqvist,PASS
1770,SAMN07340566,Engqvist,PASS
1771,SAMN07340565,Engqvist,PASS
1772,SAMN07340531,Engqvist,PASS
1773,SAMN07340578,Engqvist,PASS
1774,SAMN07340564,Engqvist,PASS
1775,SAMN07340563,Engqvist,FAIL
1776,SAMN07340562,Engqvist,PASS
1777,SAMN07340561,Engqvist,PASS
1778,SAMN07340560,Engqvist,PASS
1779,SAMN07340559,Engqvist,PASS
1780,SAMN07340558,Engqvist,PASS
1781,SAMN07340557,Engqvist,FAIL
1782,SAMN07340556,Engqvist,PASS
1783,SAMN07340555,Engqvist,PASS
1784,SAMN07340554,Engqvist,PASS
1785,SAMN07340553,Engqvist,PASS
1786,SAMN07340552,Engqvist,PASS
1787,SAMN07340551,Engqvist,PASS
1788,SAMN07340550,Engqvist,PASS
1789,SAMN07340549,Engqvist,PASS
1790,SAMN07340548,Engqvist,PASS
1791,SAMN07340547,Engqvist,PASS
1792,SAMN07340546,Engqvist,PASS
1793,SAMN07340545,Engqvist,PASS
1794,SAMN07340544,Engqvist,PASS
1795,SAMN07340543,Engqvist,PASS
1796,SAMN07340542,Engqvist,PASS
1797,SAMN07340541,Engqvist,PASS
1798,SAMN07340540,Engqvist,FAIL
1799,SAMN07340539,Engqvist,PASS
1800,SAMN07340538,Engqvist,PASS
1801,SAMN07340537,Engqvist,FAIL
1802,SAMN07340536,Engqvist,PASS
1803,SAMN07340535,Engqvist,PASS
1804,SAMN07340534,Engqvist,PASS
1805,SAMN07340628,Engqvist,PASS
1806,SAMN07340627,Engqvist,PASS
1807,SAMN07340626,Engqvist,PASS
1808,SAMN07340625,Engqvist,PASS
1809,SAMN07340623,Engqvist,PASS
1810,SAMN07340622,Engqvist,FAIL
1811,SAMN07340621,Engqvist,PASS
1812,SAMN07340620,Engqvist,PASS
1813,SAMN07340624,Engqvist,PASS
1814,SAMN07340619,Engqvist,PASS
1815,SAMN07340618,Engqvist,PASS
1816,SAMN07340617,Engqvist,PASS
1817,SAMN07340616,Engqvist,PASS
1818,SAMN07340615,Engqvist,PASS
1819,SAMN07340614,Engqvist,PASS
1820,SAMN07340613,Engqvist,PASS
1821,SAMN07340612,Engqvist,FAIL
1822,SAMN07340611,Engqvist,PASS
1823,SAMN07340610,Engqvist,PASS
1824,SAMN07340609,Engqvist,FAIL
1825,SAMN07340608,Engqvist,FAIL
1826,SAMN07340607,Engqvist,PASS
1827,SAMN07340606,Engqvist,PASS
1828,SAMN07340605,Engqvist,PASS
1829,SAMN07340604,Engqvist,PASS
1830,SAMN07340603,Engqvist,PASS
1831,SAMN07340602,Engqvist,PASS
1832,SAMN07340601,Engqvist,PASS
1833,SAMN07340600,Engqvist,PASS
1834,SAMN07340599,Engqvist,PASS
1835,SAMN07340598,Engqvist,PASS
1836,SAMN07340597,Engqvist,PASS
1837,SAMN07340596,Engqvist,PASS
1838,SAMN07340595,Engqvist,FAIL
1839,SAMN07340594,Engqvist,FAIL
1840,SAMN07340593,Engqvist,PASS
1841,SAMN07340592,Engqvist,PASS
1842,SAMN07340591,Engqvist,PASS
1843,SAMN07340590,Engqvist,PASS
1844,SAMN07340589,Engqvist,PASS
1845,SAMN07340588,Engqvist,PASS
1846,SAMN07340587,Engqvist,PASS
1847,SAMN07340586,Engqvist,PASS
1848,SAMN07340585,Engqvist,PASS
1849,SAMN07340584,Engqvist,FAIL
1850,SAMN07340583,Engqvist,FAIL
1851,SAMN07340582,Engqvist,FAIL
1852,SAMN07340581,Engqvist,FAIL
1853,SAMN07340580,Engqvist,FAIL
1854,SAMN07340579,Engqvist,FAIL
1855,SAMN07956382,East-China,PASS
1856,SAMN07956368,East-China,PASS
1857,SAMN07956367,East-China,PASS
1858,SAMN07956371,East-China,FAIL
1859,SAMN07956360,East-China,FAIL
1860,SAMN07956359,East-China,PASS
1861,SAMN07956362,East-China,FAIL
1862,SAMN07956361,East-China,FAIL
1863,SAMN07956364,East-China,PASS
1864,SAMN07956363,East-China,PASS
1865,SAMN07956366,East-China,PASS
1866,SAMN07956365,East-China,PASS
1867,SAMN07956369,East-China,PASS
1868,SAMN07956370,East-China,PASS
1869,SAMN07956386,East-China,PASS
1870,SAMN07956385,East-China,PASS
1871,SAMN07956384,East-China,PASS
1872,SAMN07956383,East-China,PASS
1873,SAMN07956375,East-China,PASS
1874,SAMN07956381,East-China,PASS
1875,SAMN07956380,East-China,PASS
1876,SAMN07956379,East-China,PASS
1877,SAMN07956376,East-China,PASS
1878,SAMN07956372,East-China,PASS
1879,SAMN07956374,East-China,PASS
1880,SAMN07956373,East-China,PASS
1881,SAMN07956377,East-China,PASS
1882,SAMN07956378,East-China,PASS
1883,SAMN07956357,East-China,PASS
1884,SAMN07956358,East-China,PASS
1885,SAMN07956353,East-China,FAIL
1886,SAMN07956354,East-China,FAIL
1887,SAMN07956355,East-China,FAIL
1888,SAMN07956356,East-China,FAIL
1889,SAMN07956349,East-China,FAIL
1890,SAMN07956350,East-China,FAIL
1891,SAMN07956351,East-China,FAIL
1892,SAMN07956352,East-China,FAIL
1893,SAMN07956347,East-China,PASS
1894,SAMN07956348,East-China,PASS
1895,SAMN07956339,East-China,PASS
1896,SAMN07956340,East-China,PASS
1897,SAMN07956341,East-China,PASS
1898,SAMN07956342,East-China,PASS
1899,SAMN07956343,East-China,PASS
1900,SAMN07956344,East-China,PASS
1901,SAMN07956345,East-China,PASS
1902,SAMN07956346,East-China,PASS
1903,SAMN09269487,Cui,FAIL
1904,SAMN09269486,Cui,FAIL
1905,SAMN09269485,Cui,FAIL
1906,SAMN09269489,Cui,FAIL
1907,SAMN09269488,Cui,FAIL
1908,SAMN11092068,Caliskan,FAIL
1909,SAMN11092119,Caliskan,FAIL
1910,SAMN11092111,Caliskan,FAIL
1911,SAMN11092154,Caliskan,FAIL
1912,SAMN11092146,Caliskan,FAIL
1913,SAMN11092122,Caliskan,FAIL
1914,SAMN11092303,Caliskan,FAIL
1915,SAMN11092295,Caliskan,FAIL
1916,SAMN11092287,Caliskan,FAIL
1917,SAMN11092235,Caliskan,FAIL
1918,SAMN11092227,Caliskan,FAIL
1919,SAMN11092050,Caliskan,FAIL
1920,SAMN11092041,Caliskan,FAIL
1921,SAMN11092028,Caliskan,FAIL
1922,SAMN11092015,Caliskan,FAIL
1923,SAMN11092102,Caliskan,FAIL
1924,SAMN11092094,Caliskan,FAIL
1925,SAMN11092086,Caliskan,FAIL
1926,SAMN11092126,Caliskan,FAIL
1927,SAMN11092055,Caliskan,FAIL
1928,SAMN11092106,Caliskan,FAIL
1929,SAMN11092572,Caliskan,FAIL
1930,SAMN11092595,Caliskan,FAIL
1931,SAMN11092351,Caliskan,FAIL
1932,SAMN11092340,Caliskan,FAIL
1933,SAMN11092325,Caliskan,FAIL
1934,SAMN11092448,Caliskan,FAIL
1935,SAMN11092442,Caliskan,FAIL
1936,SAMN11092434,Caliskan,FAIL
1937,SAMN11092486,Caliskan,FAIL
1938,SAMN11092527,Caliskan,FAIL
1939,SAMN11092520,Caliskan,PASS
1940,SAMN11092511,Caliskan,FAIL
1941,SAMN11092501,Caliskan,FAIL
1942,SAMN11092398,Caliskan,FAIL
1943,SAMN11092390,Caliskan,FAIL
1944,SAMN11092382,Caliskan,FAIL
1945,SAMN11092374,Caliskan,FAIL
1946,SAMN11092474,Caliskan,FAIL
1947,SAMN11092466,Caliskan,FAIL
1948,SAMN11092458,Caliskan,FAIL
1949,SAMN11092497,Caliskan,FAIL
1950,SAMN11092564,Caliskan,FAIL
1951,SAMN11092556,Caliskan,FAIL
1952,SAMN11092548,Caliskan,FAIL
1953,SAMN11092540,Caliskan,FAIL
1954,SAMN11092532,Caliskan,FAIL
1955,SAMN11092589,Caliskan,FAIL
1956,SAMN03840168,Chhibber,PASS
1957,SAMN03840179,Chhibber,PASS
1958,SAMN03840180,Chhibber,PASS
1959,SAMN03840181,Chhibber,PASS
1960,SAMN03840242,Chhibber,PASS
1961,SAMN03840169,Chhibber,PASS
1962,SAMN03840170,Chhibber,PASS
1963,SAMN03840171,Chhibber,PASS
1964,SAMN03840172,Chhibber,PASS
1965,SAMN03840173,Chhibber,PASS
1966,SAMN03840174,Chhibber,PASS
1967,SAMN03840175,Chhibber,PASS
1968,SAMN03840176,Chhibber,PASS
1969,SAMN03840177,Chhibber,PASS
1970,SAMN03840178,Chhibber,PASS
1971,SAMN03840243,Chhibber,PASS
1972,SAMN03840245,Chhibber,PASS
1973,SAMN03840246,Chhibber,FAIL
1974,SAMN03840247,Chhibber,PASS
1975,SAMN03840248,Chhibber,PASS
1976,SAMN03840249,Chhibber,PASS
1977,SAMN03840250,Chhibber,PASS
1978,SAMN03840251,Chhibber,PASS
1979,SAMN03840252,Chhibber,PASS
1980,SAMN03840257,Chhibber,PASS
1981,SAMN03840258,Chhibber,PASS
1982,SAMN03840259,Chhibber,PASS
1983,SAMN03840260,Chhibber,PASS
1984,SAMN03840253,Chhibber,PASS
1985,SAMN03840254,Chhibber,PASS
1986,SAMN03840255,Chhibber,PASS
1987,SAMN03840256,Chhibber,PASS
1988,SAMN03840261,Chhibber,PASS
1989,SAMN03840262,Chhibber,PASS
1990,SAMN03840263,Chhibber,PASS
1991,SAMN03840264,Chhibber,PASS
1992,SAMN03840265,Chhibber,PASS
1993,SAMN03840266,Chhibber,PASS
1994,SAMN03840267,Chhibber,PASS
1995,SAMN03840268,Chhibber,PASS
1996,SAMN03840269,Chhibber,PASS
1997,SAMN03840270,Chhibber,PASS
1998,SAMN03840271,Chhibber,PASS
1999,SAMN03840272,Chhibber,PASS
2000,SAMN03840182,Chhibber,PASS
2001,SAMN03840183,Chhibber,PASS
2002,SAMN03840184,Chhibber,PASS
2003,SAMN03840185,Chhibber,PASS
2004,SAMN03840186,Chhibber,PASS
2005,SAMN03840187,Chhibber,PASS
2006,SAMN03840188,Chhibber,PASS
2007,SAMN03840189,Chhibber,PASS
2008,SAMN03840190,Chhibber,PASS
2009,SAMN03840191,Chhibber,PASS
2010,SAMN03840192,Chhibber,PASS
2011,SAMN03840193,Chhibber,PASS
2012,SAMN03840194,Chhibber,PASS
2013,SAMN03840195,Chhibber,PASS
2014,SAMN03840196,Chhibber,PASS
2015,SAMN03840197,Chhibber,PASS
2016,SAMN03840198,Chhibber,PASS
2017,SAMN03840199,Chhibber,PASS
2018,SAMN03840200,Chhibber,PASS
2019,SAMN03840201,Chhibber,PASS
2020,SAMN03840202,Chhibber,PASS
2021,SAMN03840203,Chhibber,PASS
2022,SAMN03840204,Chhibber,PASS
2023,SAMN03840205,Chhibber,PASS
2024,SAMN03840206,Chhibber,PASS
2025,SAMN03840207,Chhibber,PASS
